,coffee_title,roaster,coffee_origin,coffee_region,variety,farmer,roast_level,flavor,coffee_type,altitude
486,Honduras Juan Vicente Natural ,Thou Mayest Coffee Roasters,Honduras,,"Bourbon, Pache",Juan Vicente,Light,"['tropical fruit', 'melon', 'juicy']",Single Origin,1690
487,Ethiopia Yabitu Koba Natural,Olympia Coffee Roasting Co,Ethiopia,,Ethiopian heirloom,Yabitu Koba,Medium-light,"['grape', 'blueberry', 'juicy']",Single Origin,2100 - 2300
488,Colombia Gabriel Castano Buendia,Onyx Coffee Lab,Colombia,,Pink Bourbon,La Granada,Light,"['cherry', 'lime', 'silky']",Single Origin,1700
489,Ethiopia Wush Wush Natural,Onyx Coffee Lab,Ethiopia,,Ethiopian heirloom,Wush Wush Village,Light,"['mixed berries', 'rooibos tea', 'juicy']",Single Origin,1900
490,Bolivia La Llama,Panther Coffee Roasters,Bolivia,,Caturra,"Pedro and Daniela Rodriguez, La Llama farm",Medium-light,"['chocolate', 'lychee', 'round']",Single Origin,1650
491,Ethiopia Chelbessa,Panther Coffee Roasters,Ethiopia,,Indigenous Varieties,Chelbessa washing station,Medium-light,"['peach', 'nectarine', 'bright']",Single Origin,2100
492,Guatemala Atilán Aprocafé,Huckleberry Roasters,Guatemala,,"Caturra, Bourbon, Catuaí, Pache",AProCafé Atitlán Growers Association,Medium-light,"['nougat', 'red plum', 'balanced']",Single Origin,1550-2100
493,Uganda Sipi Falls Washed,Huckleberry Roasters,Uganda,,"SL-28, SL-34","Gamatui Village Farmers, Sipi Falls Wet Mill",Light,"['apricot', 'citrus', 'bright']",Single Origin,1900
494,Burundi Ninga,Huckleberry Roasters,Burundi,,Bourbon,"Long Miles Coffee Project, Ninga Hill Farmers",Light,"['clementine', 'white grape', 'bright']",Single Origin,1750-1800
495,Papua New Guinea Baroida Natural,Red Rooster Coffee,Papua New Guinea,,"Arusha, Bourbon, Mundo Novo, Typica",Baroida Estate,Light,"['red currant', 'grapefruit', 'bright']",Single Origin,1700-1850
496,Nicaragua Finca Pastoral Honey,Red Rooster Coffee,Nicaragua,,"Catuaí, Parainema",Finca Pastoral,Light,"['tangerine', 'pear', 'complex']",Single Origin,1100
497,Dominican Republic Ramirez Aged ,Red Rooster Coffee,Dominican Republic,,Red Caturra,Ramirez Estate,Light,"['cherry', 'strawberry', 'juicy']",Single Origin,1400
498,Ethiopia Worka Sakaro Anaerobic Natural,Red Rooster Coffee,Ethiopia,,Landrace,Worka Sakaro,Light,"['berries', 'rose', 'juicy']",Single Origin,2000 - 2200
499,DR Congo Muungano,Kaldi's Coffee Roasting Co,Congo,,Bourbon,Muungano cooperative,Medium-light,"['plum', 'oolong tea', 'complex']",Single Origin,1480 - 2000
500,Timor-Leste Fatubesi,Kaldi's Coffee Roasting Co,East Timor,,"Typica, Hybrido de Timor",Fatubesi farmers,Medium,"['chocolate', 'almond', 'balanced']",Single Origin,1600
501,Mexico Los Naranjos,Coava Coffee Roasters,Mexico,,"Caturra, Pluma Hidalgo",El Tucan Productores Indigenas de Cafe,Medium-light,"['orange', 'maple', 'balanced']",Single Origin,1200-1500
502,Guatemala La Bolsa,Tony's Coffee,Guatemala,,"Bourbon, Caturra",Finca La Bolsa,Medium-light,"['apple', 'plum', 'vibrant']",Single Origin,1300-1600
503,Ethiopia Decaf Halo Hartume,Metric Coffee Co.,Ethiopia,,,,Medium,"['berries', 'lemon', 'juicy']",,
504,Nicaragua Los Pozitos,Ceremony Coffee Roasters,Nicaragua,,"Caturra, Catuaí, Java",Finca Los Pozitos,Medium-light,"['apple', 'vanilla', 'juicy']",Single Origin,1250
505,Colombia Familia Ortega Gomez,1000 Faces Coffee Roasters,Colombia,,Red Caturra,Familia Ortega Gomez,Medium-light,"['cherry', 'berries', 'juicy']",Single Origin,1750
506,Nicaragua Aldea,Methodical Coffee,Nicaragua,,"Caturra, Catuaí",Aldea farmers,Medium,"['almond', 'orange', 'dynamic']",Single Origin,1100 - 1450
507,Honduras Santa Lucia Family,Methodical Coffee,Honduras,,"Caturra, Lempira, lh90",Santa Lucia Family,Medium,"['chocolate', 'almond', 'balanced']",Single Origin,1200 - 1650
508,Guatemala Bella Vista,Cat & Cloud Coffee,Guatemala,,Bourbon,Bella Vista,Medium-light,"['strawberry', 'tangerine', 'juicy']",Single Origin,1600
509,Mexico Finca San Alfonso,Cat & Cloud Coffee,Mexico,,Marsellesa,"Ernesto Perez, Finca San Alfonso",Medium-light,"['vanilla', 'papaya', 'complex']",Single Origin,1200
510,Kenya Kagumoini,Cat & Cloud Coffee,Kenya,,"SL-28, Batian, Ruiru 11",Kagumoini Factory,Medium-light,"['kiwi', 'pineapple', 'vibrant']",Single Origin,1750
511,Ethiopia Worka,Cat & Cloud Coffee,Ethiopia,,Ethiopian heirloom,Shale Washing Station,Light,"['apricot', 'lemon', 'bright']",Single Origin,2350
512,Honduras Roger Dominguez Natural,Populace Coffee,Honduras,,"Bourbon, Catuaí",Roger Antonio Dominguez Marquez,Light,"['chocolate', 'cherry', 'balanced']",Single Origin,1350
513,Pedernales ,Alma Coffee,Honduras,,,"Vianel Vasquez, Finca Pedernales",Light,"['pomegranate', 'apple', 'bright']",Single Origin,1900
514,Verano Summer,Alma Coffee,Honduras,,Parainema,Leticia Lopez Hutchins,Medium-light,"['strawberry', 'peach', 'dynamic']",Single Origin,1000 - 1800
515,Ethiopia Buliye,Tandem Coffee Roasters,Ethiopia,,Ethiopian heirloom,,Light,"['strawberry', 'lemon', 'vibrant']",Single Origin,1950-2150
516,Guatemala El Mirador,Tandem Coffee Roasters,Guatemala,,"Bourbon, Caturra, Catuaí",Ismar Martinez,Light,"['cherry', 'toasted almond', 'balanced']",Single Origin,1400-2000
517,Kenya Giakanja,Tandem Coffee Roasters,Kenya,,"SL-28, SL-34, Ruiru 11, Batian",Giakanja FCS,Light,"['blackberry', 'lime', 'bright']",Single Origin,1700-1800
518,Ecuador Mitad Del Mundo,Verve Coffee Roasters,Ecuador,,"Typica, Caturra, Bourbon",Mitad del Mundo,Medium-light,"['orange', 'nutmeg', 'complex']",Single Origin,1600-2100
519,Ethiopia Kayon Mountain Natural,Verve Coffee Roasters,Ethiopia,,Ethiopian heirloom,Kayon Mountain Coffee Farm PLC,Light,"['cocoa', 'fig', 'juicy']",Single Origin,1800-2100
520,Ethiopia Nano Genji Lot 6,Kaldi's Coffee Roasting Co,Ethiopia,,Ethiopian heirloom,Nano Genji,Medium-light,"['tropical fruit', 'citrus', 'floral']",Single Origin,1900 - 2200
521,Mexico Zaragoza Itunduija,Portrait Coffee,Mexico,,Typica,Zaragoza Itunduija,Medium-light,"['peach', 'mango', 'lively']",Single Origin,1600 -1700
522,Kenya Gatirima AB,Portrait Coffee,Kenya,,"SL-28, SL-34",Gatirima Factory,Medium-light,"['tangerine', 'melon', 'bright']",Single Origin,1600 - 1800
523,Costa Rica Finca Calle Lajas,Evans Brothers Coffee Roasters,Costa Rica,,"Caturra, Catuaí",Las Lajas Micromill,Medium-light,"['raspberry', 'cherry', 'juicy']",Single Origin,1450-1600
524,El Salvador Las Delicias,Evans Brothers Coffee Roasters,El Salvador,,Bourbon,Finca Las Delicias,Medium-light,"['milk chocolate', 'raisin', 'balanced']",Single Origin,1700 meters
525,Ethiopia Worka Chelbessa Yirgacheffe,Sightglass Coffee,Ethiopia,,Ethiopian heirloom,Worka Chelbessa,Medium-light,"['peach', 'elderflower', 'vibrant']",Single Origin,1900-2200
526,Burundi Turihamwe,Temple Coffee,Burundi,,Bourbon,Turihamwe Turashobora,Medium,"['cocoa', 'baking spice', 'complex']",Single Origin,1750
527,Campfire Blend,Caffe Vita Coffee Roasting Co,"Ethiopia, Colombia, Peru",,Caturra,,Medium-light,"['orange', 'marshmallow', 'balanced']",Blend,1500-2000
528,Dreamsicle Aponte Colombia,Caffe Vita Coffee Roasting Co,Colombia,,Caturra,smallholder farmers,Medium-light,"['mandarin', 'vanilla', 'vibrant']",Single Origin,2150
529,Kenya Karatu,Ceremony Coffee Roasters,Kenya,,SL-28,Karatu Coffee Factory,Light,"['lemon', 'concord grape', 'lively']",Single Origin,"1,850 meters"
530,Ethiopia Buku,Ceremony Coffee Roasters,Ethiopia,,Dega,Isayas Beriso,Medium-light,"['mango', 'floral', 'delicate']",Single Origin,2200
531,Ripple,Dawson Taylor Coffee Roasters,"Ethiopia, Colombia",,"Caturra, Ethiopian heirloom",El Vergel Estate and smallholder producers,Medium-light,"['berries', 'milk chocolate', 'juicy']",Blend,1350 - 1900
532,Costa Rica Las Lajas Natural,Onyx Coffee Lab,Costa Rica,,"Catuaí, Caturra",Las Lajas,Light,"['blueberry', 'papaya', 'juicy']",Single Origin,1500
533,Ethiopia Nano Genji,Onyx Coffee Lab,Ethiopia,,Ethiopian heirloom,Nano Genji,Light,"['peach', 'jasmine', 'vibrant']",Single Origin,2000
534,Mexico Flor de Primavera Espresso,Noble Coffee Roasting,Mexico,,"Bourbon, Typica, Oro Azteca & Marsellesa",Flor de Primavera,Medium-light,"['fudge', 'apple', 'balanced']",Espresso,1400 - 1700
535,S.O. Blend,Coava,The Americas & East Africa,,,,Medium,"['chocolate', 'baking spice', 'balanced']",Blend,1200-1800
536,Kenya Mahiga AA,Camber Coffee,Kenya,,Ruiru 11,The Mahiga Factory,Light,"['grapefruit', 'lime', 'bright']",Single Origin,1700-1890
537,Kenya Karinga,Case Coffee Roasters,Kenya,,SL-28,"Karinga, Gitwe farmers group",Light,"['grapefruit', 'mandarin', 'juicy']",Single Origin,1800
538,Guatemala Flor de Café,Anodyne Coffee Roasters,Guatemala,,"Bourbon, Caturra, Typica, Catuaí, Catimor",Flor de Café Cooperative,Medium,"['chocolate', 'citrus', 'balanced']",Single Origin,1788
539,Organic Guatemala Maya Lxil De Avelina,Klatch Coffee Roasting,Guatemala,,"Bourbon, Typica",Maya Lxil,Medium,"['nougat', 'stone fruit', 'balanced']",Single Origin,1600-2000
540,Burundi Ngozi Bahire,Cartel Roasting Co.,Burundi,,Bourbon,Smallholder farmers organized around the Bahire station,Light,"['pineapple', 'banana', 'vibrant']",Single Origin,1800
541,Costa Rica Javier Solis,Tandem Coffee Roasters,Costa Rica,,Catuaí,Javier Solis,Light,"['nectarine', 'coconut', 'complex']",Single Origin,1900-2100
542,Summer Solstice Blend,1000 Faces Coffee Roasters,"Colombia, Rwanda",,"Red Bourbon, Pink Bourbon",,Medium-light,"['plum', 'rose', 'vibrant']",Blend,1700
543,Colombia Agroambiental,Panther Coffee Roasters,Colombia,,Castillo,Astrid Tatiana Dorado Pajoy,Medium-light,"['chocolate', 'cherry', 'balanced']",Single Origin,1850
544,Kenya Gachatha AA,Evans Brothers Coffee Roasters,Kenya,,"SL-28, SL-34, Ruiru 11",Gachatha Farmers Cooperative Society,Medium-light,"['pear', 'citrus', 'bright']",Single Origin,1800–2100
545,Larrea Blend,Verve Coffee Roasters,"Ethiopia, Indonesia",,,,Medium-light,"['orange', 'watermelon', 'vibrant']",Blend,1500-2300
546,Rwanda Karambi,Verve Coffee Roasters,Rwanda,,Bourbon,Karambi producers,Medium-light,"['honeydew', 'nougat', 'complex']",Single Origin,1700-2000
547,El Angel Costa Rica,Ritual Coffee Roasters,Costa Rica,,Caturra,Alejandra and Arturo Chacón,Medium,"['cola', 'toasted almond', 'syrupy']",Single Origin,
548,Cerro Buena Vista Costa Rica,Ritual Coffee Roasters,Costa Rica,,Catuaí,Lica and Carlos Luis Torres Valverde,Medium-light,"['lime', 'ginger', 'complex']",Single Origin,
549,Colombia La Delfita,Temple Coffee,Colombia,,Castillo,"Juan Eduardo Chamorro Vélez, La Delfita",Medium,"['apricot', 'lemon', 'lively']",Single Origin,1650
550,Colombia Miller Bustos El Mirador,Brandywine Coffee Roasters,Colombia,,Pink Bourbon,Miller Bustos,Light,"['cherry', 'date', 'juicy']",Single Origin,1500
551,Rwanda Ngoma,1000 Faces Coffee Roasters,Rwanda,,Red Bourbon,"6 smallholders, Ngoma washing station",Medium-light,"['blackberry', 'pomegranate', 'juicy']",Single Origin,1700
552,Brazil Swiss Water Process Decaf,PT's Coffee Roasting Co.,Brazil,,"Bourbon, Yellow Catuaí, Mundo Novo, Acaiá",various,Medium,"['chocolate', 'raisin', 'balanced']",,900 - 1100
553,Organic Nicaragua,Red Rooster Coffee,Nicaragua,,"Caturra, Catuaí",,Medium-dark,"['cocoa', 'black cherry', 'rich']",Single Origin,
554,Honduras Benigno Mejía Garcia,Camber Coffee,Honduras,,Parainema,Benigno Mejía Garcia,Light,"['cherry', 'kiwi', 'lively']",Single Origin,1500
555,Peru Elvis Davila,Camber Coffee,Peru,,"Bourbon, Caturra",Elvis Davila,Light,"['grapefruit', 'lychee', 'bright']",Single Origin,1950
556,Congo,Alma Coffee,Congo,,Bourbon,Mighty Peace Coffee,Medium-light,"['peach', 'strawberry', 'complex']",Single Origin,1600-2000
557,Decaf Ethiopia Chelbessa,Wonderstate Coffee,Ethiopia,,Ethiopian heirloom,SNAP Washing Stations,Medium,"['jasmine', 'citrus', 'vibrant']",,1900-2300
558,Burundi Gahahe,Camber Coffee,Burundi,,Bourbon,Gahahe Washing Station,Light,"['peach', 'clove', 'complex']",Single Origin,1800
559,Colombia Kenny Adarme,Camber Coffee,Colombia,,"Castillo, Caturra",Kenny Adarme,Light,"['cranberry', 'apple blossom', 'bright']",Single Origin,2200
560,Ethiopia Reko,Case Coffee Roasters,Ethiopia,,Ethiopian heirloom,Reko,Light,"['tangerine', 'apricot', 'sparkling']",Single Origin,2000
561,Guatemalan Atitlán,Noble Coffee Roasting,Guatemala,,"Bourbon, Caturra, Typica",Chochajau Co-op,Light,"['red apple', 'coconut', 'complex']",Single Origin,1300 - 1900
562,Madrid Family Honduras Espresso,Verve Coffee Roasters,Honduras,,"Pacas, Parainema",Madrid Family,Medium,"['lime', 'melon', 'vibrant']",Espresso,1600-1700
563,Burundi Busambo,Panther Coffee Roasters,Burundi,,Red Bourbon,Various Smallholders,Medium-light,"['blackberry', 'grapefruit', 'juicy']",Single Origin,1800 - 2200
564,Rwanda Sholi,Kaldi's Coffee Roasting Co,Rwanda,,Bourbon,Abateraninkunga ba Sholi cooperative,Medium-light,"['apricot', 'lemon', 'complex']",Single Origin,1800 - 2000
565,Peru Rosa Mego,Goshen Coffee Company,Peru,,"Caturra, Catimor",Rosa Mego,Light,"['cranberry', 'lime', 'bright']",Single Origin,1650
566,Decaf Costa Rica Tierras Ticas,Kuma Coffee,Costa Rica,,,,Medium,"['clementine', 'pecan', 'vibrant']",,1400
567,Brazil Alta Mogiana,Barefoot Coffee Roasters,Brazil,,,Pieter Johannes,Medium-light,"['strawberry', 'chocolate', 'rich']",Single Origin,1000
568,Ethiopia Kilenso,Coava Coffee Roasters,Ethiopia,,Ethiopian heirloom,Kilenso Mokonissa Cooperative,Medium-light,"['lavender', 'cantaloupe', 'vibrant']",Single Origin,1750-1900
569,Ethiopia Behatu Jibicho,Tony's Coffee,Ethiopia,,Ethiopian heirloom,Bedhatu Jibicho,Medium-light,"['orange', 'grape', 'juicy']",Single Origin,1800 - 1900
570,Ethiopia Mustefa Natural,PT's Coffee Roasting Co.,Ethiopia,,Ethiopian heirloom,"Koye Farm, Mustefa Abalulessa Abagibe",Light,"['red currant', 'pecan', 'vibrant']",Single Origin,2100
571,Peru Rayos del Sol,Panther Coffee Roasters,Peru,,"Bourbon, Catuaí, Pache, Caturra",Various smallholder farmers,Medium-light,"['vanilla', 'berries', 'silky']",Single Origin,1800 - 2100
572,Peru Maranura,Noble Coffee Roasting,Peru,,"Bourbon, Typica, Caturra, Geisha",Maranura,Light,"['nougat', 'mango', 'balanced']",Single Origin,1600 - 2000
573,Decaf Peru,Red Rooster Coffee,Peru,,,,Medium-light,"['citrus', 'dark chocolate', 'bright']",,
574,Colombia Los Guacharos,Ruby Coffee Roasters,Colombia,,"Caturra, Colombia",smallholder farmers,Medium,"['black cherry', 'apple', 'bright']",Single Origin,1600-1800
575,Mexico Tecolotl,Dawson Taylor Coffee Roasters,Mexico,,"Caturra, Bourbon, Sarchimor",Los Altos producers,Medium-light,"['citrus', 'floral', 'complex']",Single Origin,1600 - 1850
576,Colombia Laboyano,Topeca Coffee Roasters,Colombia,,"Colombia, CaturraPink Bourbon",Pitalito Station,Medium-light,"['cherry cola', 'baking spice', 'complex']",Single Origin,1600-2000
577,Cold Brew Blend,Tony's Coffee,Central and South America,,,,Medium-dark,"['maple', 'hazelnut', 'rich']",Blend,
578,Colombia Mejor,Panther Coffee Roasters,Colombia,,Castillo,Various smallholder farmers,Medium-light,"['cherry', 'citrus', 'bright']",Single Origin,1700 - 1900
579,Decaf Los Montanos,Ritual Coffee Roasters,Colombia,,"Colombia, Castillo",,Medium,"['green grape', 'milk chocolate', 'complex']",,
580,Il Primo,Parisi Coffee Roasters,South America,,,,Medium,"['milk chocolate', 'citrus', 'balanced']",Blend,
581,Colombia Decaf,Parisi Coffee Roasters,Colombia,,,,Medium-light,"['dark chocolate', 'citrus', 'balanced']",,
582,Wilder Blend,Verve Coffee Roasters,"Ethiopia, Colombia",,"Ethiopian heirloom, Colombia",,Medium-light,"['cherry', 'honeysuckle', 'complex']",Blend,1250-2000
583,Organic August Seasonal Blend,Ruby Coffee Roasters,"Colombia, Ethiopia",,"Ethiopian heirloom, Caturra, Colombia",,Medium,"['berries', 'orange zest', 'vibrant']",Blend,1800-2000
584,Organic Papua New Guinea Siane Chimbu,Centri Coffee,Papua New Guinea,,"Bourbon, Typica",Siane Organic Agriculture Cooperative (SOAC),Medium,"['cacao', 'citrus', 'balanced']",Single Origin,1350
585,Sumatra Bebagi Kepada,Goshen Coffee Company,Indonesia,,"S795, Tim-Tim, Typica, Andung Sari",smallholder farmers,Medium,"['cocoa', 'oak', 'savory']",Single Origin,1200 - 1700
586,Moonstone,Goshen Coffee Company,Various,,Various,,Medium,"['walnut', 'grapefruit', 'bright']",Blend,900 - 2100
587,Colombia El Vergel,Dawson Taylor Coffee Roasters,Colombia,,Caturra,El Vergel farm,Medium,"['apple', 'floral', 'vibrant']",Single Origin,1350
588,Decaf Sumatra Mandheling,Portola Coffee Roasters,Indonesia,,,,Medium-dark,"['chocolate', 'earthy', 'rich']",,900 - 2100
589,Tropical Weather,Onyx Coffee Lab,Ethiopia,,Ethiopian heirloom,Worka Station and Durato Bombe,Medium,"['mixed berries', 'sweet tea', 'juicy']",Blend,1900
590,Jack Creek Cold Brew,Sisters Coffee Company,"Rwanda, Colombia",,"Red Bourbon, Colombia, Castillo",Nyampinga Women's Coop,Medium,"['chocolate', 'honey', 'complex']",Blend,1450-1750
591,Cold Front Signature Blend,PT's Coffee Roasting Co.,"Colombia, Ethiopia",,,,Medium,"['chocolate', 'blackberry', 'balanced']",Blend,
